Instance,start_temperature,min_temperature,temp_decrease_factor,TotalProfit,WaitingTime,TotalTasks,Iterations,RunTime,TimeLimit,MaxRandomMoves
7_5_1,1000,1e-10,0.95,1666,5976.0,640,150,908.5066,900,10000
7_5_1,1000,1e-10,0.99,1664,8705.0,640,23,991.1003,900,10000
7_5_1,1000,1e-20,0.9,1668,6966.0,640,205,905.1711,900,10000
7_5_1,1000,1e-40,0.9,1672,6245.0,644,121,920.6227,900,10000
7_5_1,10000,1e-10,0.9,1665,5606.0,636,274,903.8256,900,10000
7_5_1,10000,1e-10,0.95,1663,6977.0,636,137,913.0948,900,10000
7_5_1,10000,1e-10,0.99,1661,8271.0,636,13,1019.6024,900,10000
7_5_1,10000,1e-20,0.9,1668,6198.0,640,182,901.6594,900,10000
7_5_1,10000,1e-40,0.9,1670,5620.0,644,96,901.1419,900,10000
7_8_1,100,1e-10,0.9,2175,11353.0,945,1059,900.824,900,10000
7_8_1,100,1e-10,0.95,2170,12965.0,940,576,901.9814,900,10000
7_8_1,100,1e-10,0.99,2172,13133.0,943,109,906.4594,900,10000
7_8_1,100,1e-20,0.9,2174,14028.0,943,674,900.8284,900,10000
7_8_1,100,1e-40,0.9,2171,13430.0,940,417,900.6658,900,10000
7_8_1,1000,1e-10,0.9,2175,11697.0,940,848,900.8781,900,10000
7_8_1,1000,1e-10,0.95,2171,10024.0,941,391,901.0811,900,10000
7_8_1,1000,1e-10,0.99,2165,12333.0,933,33,910.6698,900,10000
7_8_1,1000,1e-20,0.9,2173,10934.0,943,527,901.5168,900,10000
7_8_1,1000,1e-40,0.9,2172,11307.0,942,258,902.6291,900,10000
7_8_1,10000,1e-10,0.9,2168,9040.0,932,784,902.0003,900,10000
7_8_1,10000,1e-10,0.95,2166,10140.0,934,288,900.4406,900,10000
7_8_1,10000,1e-10,0.99,2150,16009.0,918,16,1004.7979,900,10000
7_8_1,10000,1e-20,0.9,2169,10371.0,938,448,902.2081,900,10000
7_8_1,10000,1e-40,0.9,2174,10292.0,940,247,907.4466,900,10000
7_2_1,100,1e-10,0.9,765,3611.0,272,823,901.3014,900,100
7_2_1,100,1e-10,0.9,765,3709.0,271,297,903.5013,900,1000
7_2_1,100,1e-10,0.95,770,2981.0,273,393,900.5934,900,100
7_2_1,100,1e-10,0.95,765,3093.0,273,143,904.8354,900,1000
7_2_1,100,1e-10,0.99,765,4498.0,272,85,900.5501,900,100
7_2_1,100,1e-10,0.99,764,3558.0,272,23,910.6803,900,1000
7_2_1,100,1e-20,0.9,763,3480.0,271,420,900.5889,900,100
7_2_1,100,1e-20,0.9,765,2967.0,274,174,911.0527,900,1000
7_2_1,100,1e-20,0.95,762,4172.0,271,237,901.7358,900,100
7_2_1,100,1e-20,0.95,762,3875.0,272,59,940.2434,900,1000
7_2_1,100,1e-20,0.99,764,3784.0,272,40,919.7171,900,100
7_2_1,100,1e-20,0.99,763,3078.0,272,15,1016.4686,900,1000
7_2_1,100,1e-40,0.9,765,3619.0,272,223,905.3992,900,100
7_2_1,100,1e-40,0.9,761,3945.0,272,107,910.2606,900,1000
7_2_1,100,1e-40,0.95,762,3707.0,272,129,904.4586,900,100
7_2_1,100,1e-40,0.95,762,3661.0,271,70,918.9823,900,1000
7_2_1,100,1e-40,0.99,764,3600.0,274,29,906.613,900,100
7_2_1,100,1e-40,0.99,761,3954.0,271,13,996.3627,900,1000
7_2_1,1000,1e-10,0.9,770,2604.0,272,729,900.3773,900,100
7_2_1,1000,1e-10,0.9,770,2171.0,273,309,902.4266,900,1000
7_2_1,1000,1e-10,0.95,776,2148.0,275,358,900.8405,900,100
7_2_1,1000,1e-10,0.95,767,2545.0,272,96,902.4708,900,1000
7_2_1,1000,1e-10,0.99,770,3033.0,272,67,911.3715,900,100
7_2_1,1000,1e-10,0.99,770,3338.0,273,28,944.5127,900,1000
7_2_1,1000,1e-20,0.9,775,2356.0,274,389,901.0692,900,100
7_2_1,1000,1e-20,0.9,768,2855.0,272,149,901.2192,900,1000
7_2_1,1000,1e-20,0.95,771,2474.0,273,206,904.404,900,100
7_2_1,1000,1e-20,0.95,763,3443.0,270,86,910.2435,900,1000
7_2_1,1000,1e-20,0.99,769,2640.0,272,42,921.8189,900,100
7_2_1,1000,1e-20,0.99,764,2717.0,272,19,949.29,900,1000
7_2_1,1000,1e-40,0.9,769,1991.0,274,161,903.042,900,100
7_2_1,1000,1e-40,0.9,761,2991.0,271,65,901.7696,900,1000
7_2_1,1000,1e-40,0.95,770,1845.0,273,93,901.0985,900,100
7_2_1,1000,1e-40,0.95,765,3494.0,272,34,919.1408,900,1000
7_2_1,1000,1e-40,0.99,767,2760.0,273,26,939.8362,900,100
7_2_1,1000,1e-40,0.99,761,3200.0,270,10,1036.3923,900,1000
7_2_1,10000,1e-10,0.9,766,2648.0,271,680,900.6923,900,100
7_2_1,10000,1e-10,0.9,770,2276.0,272,280,901.4792,900,1000
7_2_1,10000,1e-10,0.95,773,3150.0,273,286,902.8108,900,100
7_2_1,10000,1e-10,0.95,764,2879.0,270,108,903.641,900,1000
7_2_1,10000,1e-10,0.99,772,2797.0,274,58,907.8182,900,100
7_2_1,10000,1e-10,0.99,766,3179.0,271,16,938.2055,900,1000
7_2_1,10000,1e-20,0.9,769,2190.0,273,396,900.588,900,100
7_2_1,10000,1e-20,0.9,767,3141.0,272,117,906.9974,900,1000
7_2_1,10000,1e-20,0.95,770,2764.0,273,186,900.5559,900,100
7_2_1,10000,1e-20,0.95,767,3382.0,272,54,927.9281,900,1000
7_2_1,10000,1e-20,0.99,768,2791.0,272,38,922.4978,900,100
7_2_1,10000,1e-20,0.99,762,3368.0,270,14,994.1695,900,1000
7_2_1,10000,1e-40,0.9,768,2545.0,272,209,902.9823,900,100
7_2_1,10000,1e-40,0.9,763,3243.0,271,59,905.112,900,1000
7_2_1,10000,1e-40,0.95,766,3472.0,272,83,907.1897,900,100
7_2_1,10000,1e-40,0.95,764,3452.0,271,36,901.7118,900,1000
7_2_1,10000,1e-40,0.99,767,4001.0,272,20,942.2357,900,100
7_2_1,10000,1e-40,0.99,760,3150.0,269,9,907.5764,900,1000
7_5_1,100,1e-10,0.9,1667,8177.0,643,895,900.567,900,100
7_5_1,100,1e-10,0.9,1665,7962.0,645,404,901.4682,900,1000
7_5_1,100,1e-10,0.95,1663,7442.0,643,430,902.5799,900,100
7_5_1,100,1e-10,0.95,1668,6805.0,643,183,900.8858,900,1000
7_5_1,100,1e-10,0.99,1671,7512.0,646,95,906.3076,900,100
7_5_1,100,1e-10,0.99,1667,8064.0,646,47,904.0155,900,1000
7_5_1,100,1e-20,0.9,1668,7024.0,645,490,900.5083,900,100
7_5_1,100,1e-20,0.9,1665,9239.0,644,266,903.4334,900,1000
7_5_1,100,1e-20,0.95,1664,7980.0,643,274,903.8418,900,100
7_5_1,100,1e-20,0.95,1665,7673.0,644,120,903.5341,900,1000
7_5_1,100,1e-20,0.99,1670,8942.0,645,54,905.5583,900,100
7_5_1,100,1e-20,0.99,1665,9976.0,643,30,939.7667,900,1000
7_5_1,100,1e-40,0.9,1662,8643.0,645,302,901.7877,900,100
7_5_1,100,1e-40,0.9,1663,6038.0,646,130,902.4974,900,1000
7_5_1,100,1e-40,0.95,1666,8151.0,645,134,906.4276,900,100
7_5_1,100,1e-40,0.95,1662,10173.0,640,70,923.4144,900,1000
7_5_1,100,1e-40,0.99,1665,8864.0,645,25,947.7883,900,100
7_5_1,100,1e-40,0.99,1655,11568.0,639,16,913.858,900,1000
7_5_1,1000,1e-10,0.9,1666,6588.0,638,602,901.0749,900,100
7_5_1,1000,1e-10,0.9,1666,5977.0,640,273,901.1127,900,1000
7_5_1,1000,1e-10,0.95,1670,6880.0,638,329,902.3803,900,100
7_5_1,1000,1e-10,0.95,1664,6227.0,638,125,911.3286,900,1000
7_5_1,1000,1e-10,0.99,1666,6646.0,639,71,905.6909,900,100
7_5_1,1000,1e-10,0.99,1664,7756.0,640,23,937.0035,900,1000
7_5_1,1000,1e-20,0.9,1667,6816.0,642,406,900.8804,900,100
7_5_1,1000,1e-20,0.9,1663,7064.0,639,151,906.4641,900,1000
7_5_1,1000,1e-20,0.95,1673,5686.0,644,205,901.3573,900,100
7_5_1,1000,1e-20,0.95,1665,6935.0,639,75,900.658,900,1000
7_5_1,1000,1e-20,0.99,1669,5831.0,642,41,915.7457,900,100
7_5_1,1000,1e-20,0.99,1661,9637.0,639,19,942.8883,900,1000
7_5_1,1000,1e-40,0.9,1671,5920.0,641,233,904.596,900,100
7_5_1,1000,1e-40,0.9,1669,7063.0,645,99,925.1941,900,1000
7_5_1,1000,1e-40,0.95,1665,7510.0,642,117,903.9552,900,100
7_5_1,1000,1e-40,0.95,1667,7236.0,644,46,907.0451,900,1000
7_5_1,1000,1e-40,0.99,1669,6615.0,646,26,949.1145,900,100
7_5_1,1000,1e-40,0.99,1666,8335.0,642,10,990.6079,900,1000
7_5_1,10000,1e-10,0.9,1662,5673.0,636,447,902.1877,900,100
7_5_1,10000,1e-10,0.9,1659,6751.0,633,262,903.3154,900,1000
7_5_1,10000,1e-10,0.95,1654,7278.0,631,279,903.8664,900,100
7_5_1,10000,1e-10,0.95,1658,7264.0,634,99,916.2935,900,1000
7_5_1,10000,1e-10,0.99,1661,7572.0,635,57,911.7074,900,100
7_5_1,10000,1e-10,0.99,1661,7553.0,636,19,927.9511,900,1000
7_5_1,10000,1e-20,0.9,1664,6907.0,635,399,902.4192,900,100
7_5_1,10000,1e-20,0.9,1668,6612.0,639,153,901.1477,900,1000
7_5_1,10000,1e-20,0.95,1666,7031.0,639,192,905.2668,900,100
7_5_1,10000,1e-20,0.95,1666,6709.0,639,64,910.5337,900,1000
7_5_1,10000,1e-20,0.99,1668,6979.0,639,38,917.8774,900,100
7_5_1,10000,1e-20,0.99,1659,7709.0,638,14,936.6339,900,1000
7_5_1,10000,1e-40,0.9,1669,6995.0,639,221,901.5374,900,100
7_5_1,10000,1e-40,0.9,1668,7193.0,640,86,911.4392,900,1000
7_5_1,10000,1e-40,0.95,1667,6858.0,640,111,909.1647,900,100
7_5_1,10000,1e-40,0.95,1666,9010.0,639,46,923.9651,900,1000
7_5_1,10000,1e-40,0.99,1662,10095.0,639,25,914.1335,900,100
7_5_1,10000,1e-40,0.99,1668,8120.0,642,13,1137.4864,900,1000
7_8_1,100,1e-10,0.9,2170,12969.0,940,1205,900.8615,900,100
7_8_1,100,1e-10,0.9,2169,14255.0,939,713,900.8114,900,1000
7_8_1,100,1e-10,0.95,2170,12578.0,939,465,904.024,900,100
7_8_1,100,1e-10,0.95,2167,14278.0,940,389,901.5145,900,1000
7_8_1,100,1e-10,0.99,2168,15345.0,938,121,903.0715,900,100
7_8_1,100,1e-10,0.99,2167,15873.0,939,85,904.5461,900,1000
7_8_1,100,1e-20,0.9,2168,14221.0,939,716,901.596,900,100
7_8_1,100,1e-20,0.9,2171,13774.0,940,528,900.971,900,1000
7_8_1,100,1e-20,0.95,2169,12221.0,940,361,903.038,900,100
7_8_1,100,1e-20,0.95,2169,14113.0,943,250,903.1071,900,1000
7_8_1,100,1e-20,0.99,2171,14271.0,940,69,912.7031,900,100
7_8_1,100,1e-20,0.99,2170,15254.0,942,56,913.7658,900,1000
7_8_1,100,1e-40,0.9,2168,14963.0,941,559,902.1868,900,100
7_8_1,100,1e-40,0.9,2171,14863.0,939,297,905.0774,900,1000
7_8_1,100,1e-40,0.95,2164,16536.0,937,208,904.7582,900,100
7_8_1,100,1e-40,0.95,2165,16070.0,937,126,904.9413,900,1000
7_8_1,100,1e-40,0.99,2169,15656.0,939,45,901.0549,900,100
7_8_1,100,1e-40,0.99,2168,14895.0,941,36,936.6741,900,1000
7_8_1,1000,1e-10,0.9,2167,10895.0,934,1016,901.3571,900,100
7_8_1,1000,1e-10,0.9,2168,10330.0,937,564,900.7392,900,1000
7_8_1,1000,1e-10,0.95,2167,11165.0,936,545,901.8056,900,100
7_8_1,1000,1e-10,0.95,2169,10369.0,938,286,904.5029,900,1000
7_8_1,1000,1e-10,0.99,2163,12361.0,931,70,906.5928,900,100
7_8_1,1000,1e-10,0.99,2163,13701.0,932,36,979.3809,900,1000
7_8_1,1000,1e-20,0.9,2164,11576.0,932,467,901.3319,900,100
7_8_1,1000,1e-20,0.9,2171,10289.0,943,327,901.6374,900,1000
7_8_1,1000,1e-20,0.95,2168,11211.0,938,289,902.513,900,100
7_8_1,1000,1e-20,0.95,2169,11479.0,939,183,904.7816,900,1000
7_8_1,1000,1e-20,0.99,2168,12967.0,937,57,907.1715,900,100
7_8_1,1000,1e-20,0.99,2162,15662.0,934,28,939.8684,900,1000
7_8_1,1000,1e-40,0.9,2167,12660.0,939,350,902.3384,900,100
7_8_1,1000,1e-40,0.9,2169,13332.0,942,196,903.1417,900,1000
7_8_1,1000,1e-40,0.95,2168,12170.0,936,166,907.253,900,100
7_8_1,1000,1e-40,0.95,2171,12132.0,940,101,904.5793,900,1000
7_8_1,1000,1e-40,0.99,2168,14158.0,936,34,908.753,900,100
7_8_1,1000,1e-40,0.99,2171,13185.0,939,19,978.0071,900,1000
7_8_1,10000,1e-10,0.9,2159,10685.0,929,950,900.8762,900,100
7_8_1,10000,1e-10,0.9,2165,8901.0,932,495,901.627,900,1000
7_8_1,10000,1e-10,0.95,2160,10296.0,929,473,902.4954,900,100
7_8_1,10000,1e-10,0.95,2162,10942.0,930,226,903.1545,900,1000
7_8_1,10000,1e-10,0.99,2162,12438.0,931,82,902.6925,900,100
7_8_1,10000,1e-10,0.99,2154,14502.0,923,28,928.4803,900,1000
7_8_1,10000,1e-20,0.9,2165,11435.0,932,515,902.0197,900,100
7_8_1,10000,1e-20,0.9,2163,12292.0,932,228,902.0966,900,1000
7_8_1,10000,1e-20,0.95,2162,11113.0,930,210,901.3235,900,100
7_8_1,10000,1e-20,0.95,2166,10494.0,931,121,902.3262,900,1000
7_8_1,10000,1e-20,0.99,2164,13881.0,930,48,906.9863,900,100
7_8_1,10000,1e-20,0.99,2159,15456.0,929,19,974.2746,900,1000
7_8_1,10000,1e-40,0.9,2169,11859.0,936,328,901.7951,900,100
7_8_1,10000,1e-40,0.9,2167,13033.0,933,190,904.1994,900,1000
7_8_1,10000,1e-40,0.95,2168,10491.0,937,154,902.2956,900,100
7_8_1,10000,1e-40,0.95,2165,12215.0,936,86,901.283,900,1000
7_8_1,10000,1e-40,0.99,2166,13472.0,933,28,901.0906,900,100
7_8_1,10000,1e-40,0.99,2165,14945.0,935,14,1015.6046,900,1000
